id,name,manufacturer,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,rating
34,Grape-Nuts,Post Foods,C,110,3,0,170,3,17,3,90,25,3,1,0.25,53.371007,
35,Great Grains Pecan,Post Foods,C,120,3,3,75,3,13,4,100,25,3,1,0.33,45.811716,
36,Honey Graham Ohs,Quaker,C,120,1,2,220,1,12,11,45,25,2,1,1,21.871292,
37,Honey Nut Cheerios,General Mills,C,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.072217,
38,Honey-comb,Post Foods,C,110,1,0,180,0,14,11,35,25,1,1,1.33,28.742414,
39,Just Right Crunchy  Nuggets,Kelloggs,C,110,2,1,170,1,17,6,60,100,3,1,1,36.523683,
40,Just Right Fruit & Nut,Kelloggs,C,140,3,1,170,2,20,9,95,100,3,1.3,0.75,36.471512,
41,Kix,General Mills,C,110,2,1,260,0,21,3,40,25,2,1,1.5,39.241114,
42,Life,Quaker,C,100,4,2,150,2,12,6,95,25,2,1,0.67,45.328074,
43,Lucky Charms,General Mills,C,110,2,1,180,0,12,12,55,25,2,1,1,26.734515,
45,Muesli Raisins; Dates; & Almonds,Ralston,C,150,4,3,95,3,16,11,170,25,3,1,1,37.136863,
46,Muesli Raisins; Peaches; & Pecans,Ralston,C,150,4,3,150,3,16,11,170,25,3,1,1,34.139765,
47,Mueslix Crispy Blend,Kelloggs,C,160,3,2,150,3,17,13,160,25,3,1.5,0.67,30.313351,
48,Multi-Grain Cheerios,General Mills,C,100,2,1,220,2,15,6,90,25,1,1,1,40.105965,
49,Nut&Honey Crunch,Kelloggs,C,120,2,1,190,0,15,9,40,25,2,1,0.67,29.924285,
50,Nutri-Grain Almond-Raisin,Kelloggs,C,140,3,2,220,3,21,7,130,25,3,1.33,0.67,40.69232,
51,Nutri-grain Wheat,Kelloggs,C,90,3,0,170,3,18,2,90,25,3,1,1,59.642837,
52,Oatmeal Raisin Crisp,General Mills,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,
53,Post Nat. Raisin Bran,Post Foods,C,120,3,1,200,6,11,14,260,25,3,1.33,0.67,37.840594,
54,Product 19,Kelloggs,C,100,3,0,320,1,20,3,45,100,3,1,1,41.50354,
55,Puffed Rice,Quaker,C,50,1,0,0,0,13,0,15,0,3,0.5,1,60.756112,
56,Puffed Wheat,Quaker,C,50,2,0,0,1,10,0,50,0,3,0.5,1,63.005645,
57,Quaker Oat Squares,Quaker,C,100,4,1,135,2,14,6,110,25,3,1,0.5,49.511874,
58,Quaker Oatmeal,Quaker,H,100,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.828392,
59,Raisin Bran,Kelloggs,C,120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.259197,
60,Raisin Nut Bran,General Mills,C,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034,
61,Raisin Squares,Kelloggs,C,90,2,0,0,2,15,6,110,25,3,1,0.5,55.333142,
62,Rice Chex,Ralston,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933,
63,Rice Krispies,Kelloggs,C,110,2,0,290,0,22,3,35,25,1,1,1,40.560159,
64,Shredded Wheat,Nabisco,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.235885,
65,Shredded Wheat 'n'Bran,Nabisco,C,90,3,0,0,4,19,0,140,0,1,1,0.67,74.472949,
66,Shredded Wheat spoon size,Nabisco,C,90,3,0,0,3,20,0,120,0,1,1,0.67,72.801787,
67,Smacks,Kelloggs,C,110,2,1,70,1,9,15,40,25,2,1,0.75,31.230054,
68,Special K,Kelloggs,C,110,6,0,230,1,16,3,55,25,1,1,1,53.131324,
69,Strawberry Fruit Wheats,Nabisco,C,90,2,0,15,3,15,5,90,25,2,1,1,59.363993,
70,Total Corn Flakes,General Mills,C,110,2,1,200,0,21,3,35,100,3,1,1,38.839746,
71,Total Raisin Bran,General Mills,C,140,3,1,190,4,15,14,230,100,3,1.5,1,28.592785,
72,Total Whole Grain,General Mills,C,100,3,1,200,3,16,3,110,100,3,1,1,46.658844,
73,Triples,General Mills,C,110,2,1,250,0,21,3,60,25,3,1,0.75,39.106174,
74,Trix,General Mills,C,110,1,1,140,0,13,12,25,25,2,1,1,27.753301,
75,Wheat Chex,Ralston,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445,
76,Wheaties,General Mills,C,100,3,1,200,3,17,3,110,25,1,1,1,51.592193,
77,Wheaties Honey Gold,General Mills,C,110,2,1,200,1,16,8,60,25,1,1,0.75,36.187559,
